Cycle start time,Cycle end time,Cycle timezone,Workout start time,Workout end time,Duration (min),Activity name,Activity Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),HR Zone 1 %,HR Zone 2 %,HR Zone 3 %,HR Zone 4 %,HR Zone 5 %,GPS enabled,Distance (meters),Altitude gain (meters),Altitude change (meters)
2024-02-05 21:45:15,2024-02-06 23:00:22,UTC-06:00,2024-02-06 16:07:30,2024-02-06 18:29:59,142,Running,18.2,1613.0,193,152,3,18,31,39,9,false,,,
2023-12-11 03:15:29,2023-12-12 04:56:05,UTC-06:00,2023-12-11 16:33:00,2023-12-11 17:08:59,35,Running,12.4,454.0,194,157,0,2,29,60,8,false,,,
2023-12-05 23:22:19,2023-12-06 21:01:32,UTC-06:00,2023-12-06 15:06:00,2023-12-06 16:31:29,85,Running,17.7,1226.0,195,166,0,0,14,71,15,false,,,
2023-12-05 23:22:19,2023-12-06 21:01:32,UTC-06:00,2023-12-06 14:09:00,2023-12-06 14:29:59,20,Running,4.9,80.0,144,117,55,43,2,0,0,false,,,
2023-12-01 22:03:03,2023-12-03 00:18:39,UTC-06:00,2023-12-02 11:25:30,2023-12-02 13:17:59,112,Running,20.2,1753.0,186,172,1,4,5,43,47,false,,,
2023-11-28 21:35:18,2023-11-29 20:33:52,UTC-06:00,2023-11-29 07:54:00,2023-11-29 09:16:29,82,Running,15.6,995.0,183,155,2,7,30,58,3,false,,,
2023-11-25 02:50:17,2023-11-26 03:57:39,UTC-06:00,2023-11-25 16:21:00,2023-11-25 17:46:29,85,Running,14.3,865.0,199,145,13,8,56,22,1,false,,,
2023-11-24 00:08:32,2023-11-25 02:50:17,UTC-06:00,2023-11-24 14:07:30,2023-11-24 14:49:29,41,Running,7.9,302.0,156,131,15,37,48,0,0,false,,,
2023-11-22 23:09:52,2023-11-24 00:08:32,UTC-06:00,2023-11-23 13:55:30,2023-11-23 15:41:59,106,Running,17.9,1401.0,179,159,0,4,14,80,0,false,,,
2023-11-22 00:00:00,2023-11-22 23:09:52,UTC-06:00,2023-11-22 17:19:30,2023-11-22 17:55:29,35,Running,7.3,265.0,156,132,5,60,35,0,0,false,,,
2023-10-28 21:17:16,2023-10-29 22:23:08,UTC-05:00,2023-10-29 08:51:00,2023-10-29 10:59:59,128,Running,16.8,1392.0,180,148,4,8,46,39,0,false,,,
2023-10-27 21:24:21,2023-10-28 21:17:16,UTC-05:00,2023-10-28 09:11:34,2023-10-28 09:50:53,39,Running,7.0,243.0,170,125,16,42,35,2,0,false,,,
2023-10-24 20:49:01,2023-10-25 23:46:25,UTC-05:00,2023-10-25 06:02:24,2023-10-25 08:20:44,138,Running,18.4,1713.0,186,154,3,6,34,55,1,false,,,
2023-10-22 21:40:51,2023-10-23 20:09:05,UTC-05:00,2023-10-23 06:21:08,2023-10-23 08:00:59,99,Running,16.4,1189.0,195,151,0,12,53,30,5,false,,,
2023-10-21 19:58:34,2023-10-22 21:40:51,UTC-05:00,2023-10-22 07:18:00,2023-10-22 07:34:29,16,Activity,4.6,53.0,139,106,67,17,0,0,0,false,,,
2023-10-20 20:36:24,2023-10-21 19:58:34,UTC-05:00,2023-10-21 06:35:37,2023-10-21 07:47:30,71,Running,12.2,689.0,163,139,3,25,72,0,0,false,,,
2023-10-16 21:01:08,2023-10-17 23:36:20,UTC-05:00,2023-10-17 16:07:30,2023-10-17 18:46:29,158,Running,17.4,1624.0,188,142,11,22,48,18,1,false,,,
2023-06-19 23:29:51,2023-06-21 00:59:53,UTC-05:00,2023-06-20 14:07:49,2023-06-20 14:44:34,36,Running,14.1,506.0,194,160,3,20,12,25,40,false,,,
2023-06-18 20:57:27,2023-06-19 23:29:51,UTC-05:00,2023-06-19 08:28:48,2023-06-19 08:46:10,17,Running,8.6,216.0,176,154,1,3,37,59,0,false,,,
2023-06-17 22:36:20,2023-06-18 20:57:27,UTC-05:00,2023-06-18 07:41:14,2023-06-18 08:13:18,32,Running,13.0,452.0,189,162,1,4,15,76,4,false,,,
2023-06-12 23:37:52,2023-06-14 02:31:57,UTC-05:00,2023-06-13 17:14:35,2023-06-13 18:01:12,46,Running,14.2,631.0,188,160,1,3,20,70,6,false,,,
2023-06-09 23:51:41,2023-06-10 23:29:37,UTC-05:00,2023-06-10 16:37:35,2023-06-10 17:25:31,47,Activity,14.2,638.0,195,158,0,5,35,45,15,false,,,
2023-06-07 23:42:25,2023-06-09 01:32:34,UTC-05:00,2023-06-08 13:12:00,2023-06-08 13:59:59,47,Running,14.9,667.0,196,161,4,5,24,43,24,false,,,
2023-06-07 23:42:25,2023-06-09 01:32:34,UTC-05:00,2023-06-08 11:58:30,2023-06-08 12:59:59,61,Running,16.8,797.0,197,156,12,12,6,16,48,false,,,
2023-06-06 22:23:04,2023-06-07 23:42:25,UTC-05:00,2023-06-07 14:16:30,2023-06-07 15:07:29,50,Running,12.7,578.0,170,149,3,8,65,24,0,false,,,
2023-06-04 22:54:10,2023-06-05 22:39:51,UTC-05:00,2023-06-05 14:30:20,2023-06-05 16:07:05,96,Running,17.5,1226.0,183,155,6,12,12,68,1,false,,,
2023-06-02 01:22:10,2023-06-02 23:54:49,UTC-05:00,2023-06-02 13:16:16,2023-06-02 15:00:17,104,Running,18.8,1435.0,186,161,8,7,8,71,6,false,,,
2023-05-30 23:32:56,2023-05-31 23:22:24,UTC-05:00,2023-05-31 12:36:15,2023-05-31 13:36:15,60,Weightlifting,5.0,140.0,149,95,15,18,0,0,0,false,,,
2023-05-28 21:56:06,2023-05-30 00:23:40,UTC-05:00,2023-05-29 14:43:50,2023-05-29 15:28:18,44,Running,14.5,539.0,203,153,17,18,3,22,38,false,,,
2023-05-24 19:37:28,2023-05-25 20:22:42,UTC-05:00,2023-05-25 13:00:24,2023-05-25 15:01:49,121,Running,18.7,1663.0,181,160,0,2,30,68,0,false,,,
2023-05-22 23:15:34,2023-05-23 22:53:59,UTC-05:00,2023-05-23 14:01:43,2023-05-23 15:25:50,84,Running,17.8,1224.0,183,165,0,1,13,85,1,false,,,
2023-05-22 00:05:02,2023-05-22 23:15:34,UTC-05:00,2023-05-22 13:54:07,2023-05-22 15:19:41,85,Running,16.9,1160.0,176,158,0,4,17,79,0,false,,,
2023-05-19 00:41:53,2023-05-20 00:40:29,UTC-05:00,2023-05-19 13:54:45,2023-05-19 15:10:09,75,Running,19.6,1306.0,193,178,0,1,5,21,73,false,,,
2023-05-16 23:51:41,2023-05-17 22:28:07,UTC-05:00,2023-05-17 14:30:57,2023-05-17 15:10:23,39,Running,14.8,596.0,193,167,0,3,17,57,23,false,,,
2023-05-09 22:01:20,2023-05-10 23:51:21,UTC-05:00,2023-05-10 19:09:23,2023-05-10 19:49:48,40,Running,14.3,586.0,185,165,0,5,15,69,11,false,,,
2023-05-08 22:28:42,2023-05-09 22:01:20,UTC-05:00,2023-05-09 20:01:09,2023-05-09 20:24:48,23,Running,8.8,269.0,167,152,1,1,77,21,0,false,,,
2023-05-06 23:23:53,2023-05-07 21:57:25,UTC-05:00,2023-05-07 09:50:59,2023-05-07 11:16:05,85,Running,15.9,916.0,190,146,14,6,39,24,13,false,,,
2023-05-05 23:08:28,2023-05-06 23:23:53,UTC-05:00,2023-05-06 12:21:46,2023-05-06 12:52:11,30,Running,13.7,465.0,186,169,2,2,1,72,23,false,,,
2023-05-03 21:56:03,2023-05-04 23:55:42,UTC-05:00,2023-05-04 16:28:38,2023-05-04 17:41:54,73,Running,14.4,870.0,172,152,0,0,82,18,0,false,,,
2023-05-02 22:34:53,2023-05-03 21:56:03,UTC-05:00,2023-05-03 17:23:26,2023-05-03 18:31:35,68,Running,14.3,821.0,172,152,0,3,67,30,0,false,,,
2023-05-02 22:34:53,2023-05-03 21:56:03,UTC-05:00,2023-05-03 12:05:51,2023-05-03 12:23:46,17,Running,8.4,217.0,173,152,1,2,52,44,0,false,,,
2023-05-01 00:53:52,2023-05-01 22:28:10,UTC-05:00,2023-05-01 14:44:11,2023-05-01 15:48:41,64,Running,17.2,980.0,187,168,0,1,10,73,16,false,,,
2023-04-24 22:37:44,2023-04-25 23:02:45,UTC-05:00,2023-04-25 13:39:29,2023-04-25 14:57:35,78,Running,15.5,983.0,176,156,0,3,44,53,0,false,,,
2023-04-22 22:15:31,2023-04-23 23:51:04,UTC-05:00,2023-04-23 15:43:22,2023-04-23 16:29:24,46,Running,13.6,612.0,179,160,0,0,28,72,0,false,,,
2023-04-20 22:15:31,2023-04-21 22:51:12,UTC-05:00,2023-04-21 11:48:37,2023-04-21 12:42:58,54,Running,17.3,881.0,196,173,0,2,7,53,38,false,,,
2023-04-17 21:57:20,2023-04-18 22:18:58,UTC-05:00,2023-04-18 12:37:46,2023-04-18 13:18:20,40,Running,15.1,621.0,196,169,0,1,12,52,35,false,,,
2023-04-15 16:22:06,2023-04-16 23:30:58,UTC-05:00,2023-04-16 09:28:00,2023-04-16 12:32:55,184,Running,18.2,1996.0,182,148,4,7,66,23,0,false,,,
2023-04-13 19:25:44,2023-04-14 21:32:33,UTC-05:00,2023-04-14 11:21:14,2023-04-14 12:43:15,82,Running,14.9,974.0,172,153,0,2,69,29,0,false,,,
2023-04-12 22:05:16,2023-04-13 19:25:44,UTC-05:00,2023-04-13 12:00:38,2023-04-13 13:19:31,78,Running,15.6,1004.0,172,156,0,1,46,53,0,false,,,
2023-04-10 21:45:23,2023-04-11 21:02:19,UTC-05:00,2023-04-11 11:33:41,2023-04-11 12:56:26,82,Running,18.2,1234.0,186,168,0,3,11,74,12,false,,,
2023-04-07 22:25:49,2023-04-08 16:42:21,UTC-05:00,2023-04-08 13:33:35,2023-04-08 14:24:34,50,Running,16.4,773.0,195,169,0,1,33,25,41,false,,,
2023-04-06 19:32:09,2023-04-07 22:25:49,UTC-05:00,2023-04-07 14:02:24,2023-04-07 14:41:05,38,Running,11.4,445.0,172,150,1,7,74,18,0,false,,,
