segment_id,start_ts,end_ts,dur_s,dist_km,avg_pace_min_km,avg_hr,avg_cad,tag,start_offset_s,end_offset_s,note
1,2025-04-21 00:00:13+00:00,2025-04-21 00:00:28+00:00,15,,,80.9,,warm-up,0,15,
2,2025-04-21 00:02:25+00:00,2025-04-21 00:02:30+00:00,5,0.012,7.2,132.8,143.5,mid-session,132,137,pause?
3,2025-04-21 00:11:04+00:00,2025-04-21 00:11:10+00:00,6,0.011,9.4,153.0,100.0,mid-session,651,657,pause?
4,2025-04-21 00:18:07+00:00,2025-04-21 00:18:09+00:00,2,0.003,10.4,156.3,102.0,mid-session,1074,1076,pause?
5,2025-04-21 00:21:47+00:00,2025-04-21 00:21:52+00:00,5,0.013,6.5,192.0,141.0,mid-session,1294,1299,pause?
6,2025-04-21 00:28:01+00:00,2025-04-21 00:28:07+00:00,6,0.013,7.8,159.4,101.7,mid-session,1668,1674,pause?
7,2025-04-21 00:30:38+00:00,2025-04-21 00:30:44+00:00,6,0.005,18.5,171.4,,mid-session,1825,1831,pause?
8,2025-04-21 00:40:01+00:00,2025-04-21 00:40:07+00:00,6,0.015,6.7,155.0,,mid-session,2388,2394,pause?
