timestamp,distance_cumulative_km,pace_min_per_km,cadence,heart_rate
2025-05-01 16:42:50+00:00,0.02462747742617343,4.5646797470630425,104,83
2025-05-01 16:42:51+00:00,0.027924105500667016,5.055681024181134,104,83
2025-05-01 16:42:52+00:00,0.030689922953285247,6.025958070451333,104,85
2025-05-01 16:42:53+00:00,0.033670897587968,5.591023756488201,104,84
2025-05-01 16:42:54+00:00,0.03715579508957774,4.7825509910410124,104,85
2025-05-01 16:42:55+00:00,0.039809901235425736,6.279590598165363,102,85
2025-05-01 16:42:56+00:00,0.042006402873890854,7.587838637646727,102,86
2025-05-01 16:42:57+00:00,0.04429442541313394,7.284325094766587,102,86
2025-05-01 16:42:58+00:00,0.04622918807430244,8.614338251666599,102,86
2025-05-01 16:43:00+00:00,0.05066275348036497,6.193228242302602,104,89
2025-05-01 16:43:01+00:00,0.05323497064626087,6.47950733747436,104,90
2025-05-01 16:43:02+00:00,0.0553428863768378,7.906720253678443,104,91
2025-05-01 16:43:04+00:00,0.05930506346465271,6.717595196444017,104,93
2025-05-01 16:43:05+00:00,0.06286889680048026,4.676621612028844,104,94
2025-05-01 16:43:14+00:00,0.07665074972918998,9.412996675253494,104,97
2025-05-01 16:43:15+00:00,0.07866727766112126,8.26504792524142,104,97
2025-05-01 16:43:16+00:00,0.08068380559305253,8.26504792524142,104,97
2025-05-01 16:43:17+00:00,0.0824544106399043,9.41299700327545,104,97
2025-05-01 16:43:18+00:00,0.08433809301796598,8.847935402543865,104,97
2025-05-01 16:43:19+00:00,0.08619865975793684,8.957861947086599,104,97
2025-05-01 16:43:31+00:00,0.10455133942779848,7.906722532552449,104,98
2025-05-01 16:43:32+00:00,0.10650201285535796,8.544074966383247,102,98
2025-05-01 16:43:33+00:00,0.10842716537710578,8.657340034995526,102,98
2025-05-01 16:43:43+00:00,0.12200742754343913,9.285694810625646,104,100
2025-05-01 16:43:59+00:00,0.14499983570654712,9.038938875593354,104,107
2025-05-01 16:44:00+00:00,0.14677044040375617,9.412998862067438,104,107
2025-05-01 16:44:21+00:00,0.1767971922435097,8.33027383440521,104,102
2025-05-01 16:44:22+00:00,0.17864106994340057,9.03894005604953,104,102
2025-05-01 16:44:29+00:00,0.18996499083872803,5.342497298058196,104,102
2025-05-01 16:44:38+00:00,0.20174125980723637,8.544078262775223,104,102
2025-05-01 16:45:04+00:00,0.23849623727543587,9.03894145022248,104,100
2025-05-01 16:45:18+00:00,0.25880463457945124,9.412999852213531,104,102
2025-05-01 16:45:33+00:00,0.2801229885495096,9.412999852213531,104,104
2025-05-01 16:45:58+00:00,0.3102366618410147,8.957865079545812,96,103
2025-05-01 16:46:47+00:00,0.3783751747106038,9.038939090563867,100,111
2025-05-01 16:47:15+00:00,0.41884550309798213,9.088653782197001,106,110
2025-05-01 16:47:30+00:00,0.44057181641166854,8.65734097528418,106,107
2025-05-01 16:47:38+00:00,0.45196275418986515,9.038939418058503,104,108
2025-05-01 16:47:46+00:00,0.4641712445617688,9.088654212448283,104,112
2025-05-01 16:47:47+00:00,0.46600503643128105,9.08865410360485,104,112
2025-05-01 16:48:23+00:00,0.5128400848631415,8.656054508239915,104,112
2025-05-01 16:48:24+00:00,0.5146402674206153,9.258338789477376,104,112
2025-05-01 16:48:31+00:00,0.5238339546490621,7.82014934593684,104,113
2025-05-01 16:48:32+00:00,0.5258504842274095,8.26504117715877,108,113
2025-05-01 16:48:33+00:00,0.5280019443080757,7.746692652944936,110,113
2025-05-01 16:48:34+00:00,0.5297685948777171,9.43406709080132,110,112
2025-05-01 16:48:35+00:00,0.5317496914416252,8.412866037746658,112,112
2025-05-01 16:48:36+00:00,0.5338529484318497,7.924233737229094,114,111
2025-05-01 16:48:37+00:00,0.5361891662657684,7.134052209525311,116,111
2025-05-01 16:48:38+00:00,0.5382511454330868,8.082865367488445,116,111
2025-05-01 16:48:39+00:00,0.5402116898499609,8.501057082181356,116,111
2025-05-01 16:48:40+00:00,0.5420616021286396,9.00945422769148,118,110
2025-05-01 16:48:52+00:00,0.5565737058432724,8.330353899104274,120,112
2025-05-01 16:49:23+00:00,0.5993856098929897,8.191173130076718,108,118
2025-05-01 16:49:24+00:00,0.6013110479104364,8.656056361711109,106,118
2025-05-01 16:49:25+00:00,0.6032364859134112,8.656056426771615,108,117
2025-05-01 16:49:31+00:00,0.6117542552928877,8.816883946185914,106,117
2025-05-01 16:49:32+00:00,0.613542767622898,9.318750405206277,106,117
2025-05-01 16:49:33+00:00,0.6154330839872693,8.816883942886788,106,117
2025-05-01 16:49:34+00:00,0.617434595430899,8.327057061325311,106,117
2025-05-01 16:49:35+00:00,0.6192231077501067,9.318750461491389,106,117
2025-05-01 16:49:43+00:00,0.6296444929187368,9.175707222668606,102,117
2025-05-01 16:49:51+00:00,0.6398361807536501,8.7253284134178,100,113
2025-05-01 16:49:52+00:00,0.6417810955464317,8.569372839291656,102,113
2025-05-01 16:50:16+00:00,0.6759917348905327,8.957961033893456,104,113
2025-05-01 16:50:29+00:00,0.6939890296503892,9.285792849362693,104,111
2025-05-01 16:50:30+00:00,0.6961476821555338,7.720881411102382,104,111
2025-05-01 16:50:31+00:00,0.6982991171596056,7.746782946478273,104,112
2025-05-01 16:50:47+00:00,0.7193192476128845,9.149749830170572,106,113
2025-05-01 16:50:48+00:00,0.7211346540831106,9.180698798503201,106,114
2025-05-01 16:50:50+00:00,0.7244732829108395,9.064606011623132,106,112
2025-05-01 16:50:51+00:00,0.7264668094798044,8.360410269652629,106,112
