category,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Body,Body,Heart,Heart,Heart,Heart,Heart + Lungs,Heart + Lungs,Metabolism,Metabolism,Metabolism,Recovery,Sleep Length,Sleep Length,Sleep Length,Sleep Length,Sleep Length,Sleep Length,Sleep Length,Sleep Length,Sleep Length,Sleep Length,Sleep Length,Sleep Quality,Sleep Vitals,Sleep Vitals
name,Active Time,Activity Distance,Avg Stress Level,High Intensity Activity,Low Intensity Activity,MET Min High Intensity,MET Min Medium Intensity,Max Stress Level,Medium Intensity Activity,Steps,Time Resting,Total Activity,Fitness Age,Weight,Avg Heart Rate,Max Heart Rate,Min Heart Rate,Resting Heart Rate,Blood Oxygenation,VO₂ Max,Active Calories Burned,Resting Calories Burned,Total Calories Burned,Body Battery,Deep Sleep,Deep Sleep Percent,Light Sleep,Light Sleep Percent,REM Sleep,REM Sleep Percent,Sleep End Time,Sleep Start Time,Time Awake,Time in Bed,Total Sleep,Time Awake Percent,Sleep Blood Oxygenation,Sleep Respiratory Rate
units,Minutes,Miles,%,Minutes,Minutes,Minutes,Minutes,%,Minutes,Steps,Minutes,Minutes,Years,Pounds,Beats / min,Beats / min,Beats / min,Beats / min,%,mL/kg/min,Calories,Calories,Calories,%,Hours,%,Hours,%,Hours,%,24-hour time,24-hour time,Hours,Hours,Hours,%,%,Breaths / min
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-24,0.0,0.0,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
2023-11-27,0.0,0.0,10,,,0.0,0.0,13,,0,2.0,,,,67,68,65,65,,,0,2095,2095.0,38.0,,,,,,,,,,,,,,
2023-11-28,113.35,3.444260518571542,21,11.0,119.0,6.0,5.0,98,39.0,6761,891.0,169.0,,154.99801372,73,131,52,64,,,339,2095,2434.0,79.58429561200924,,,,,,,,,,,,,,
2023-11-29,178.33333333333334,11.031824146981627,28,15.0,359.0,74.0,4.0,92,111.0,18241,686.0,485.0,20,,78,182,52,54,,53.0,1229,2095,3324.0,63.27916666666667,1.4666666666666666,15.575221238938052,5.183333333333334,55.04424778761062,2.7666666666666666,29.38053097345133,7.05,-2.366666666666667,0.06666666666666667,9.416666666666666,9.416666666666666,0.7079646017699115,,15.731560283687953
2023-11-30,204.63333333333333,5.281655134017338,42,134.0,373.0,3.0,8.0,99,286.0,10264,425.0,793.0,,,82,140,55,57,,,846,2095,2941.0,36.52291666666667,0.31666666666666665,3.653846153846154,6.483333333333333,74.8076923076923,1.8666666666666667,21.53846153846154,5.283333333333333,-3.383333333333333,0.03333333333333333,8.666666666666666,8.666666666666666,0.38461538461538464,,15.677996146435445
2023-12-01,55.5,1.0184273840769904,26,8.0,521.0,0.0,0.0,93,65.0,1982,752.0,594.0,,,72,117,48,55,,,98,2095,2193.0,37.21041666666667,1.4166666666666667,16.50485436893204,4.8,55.92233009708738,2.3666666666666667,27.57281553398058,13.983333333333333,5.4,0.0,8.583333333333334,8.583333333333334,0.0,,14.809436893203879
2023-12-02,173.26666666666668,14.53884315596914,30,31.0,379.0,114.0,6.0,99,135.0,19293,639.0,545.0,20,,83,184,55,58,,53.0,1722,2095,3817.0,51.6125,1.45,13.722397476340694,6.416666666666667,60.72555205047318,2.7,25.55205047318612,9.6,-0.966666666666665,0.1,10.566666666666666,10.566666666666666,0.9463722397476341,,15.761065830721009
