timestamp,heart_rate,cadence,distance,latitude,longitude,lat_prev,lon_prev,distance_segment_m,distance_cumulative_km,time_delta_s,speed_mps,pace_min_per_km
2025-04-25 20:18:37+00:00,127,77,140.24,34.60702252574265,-98.42402868904173,34.607016406953335,-98.42404469847679,1.6154641803586112,0.057792921888457645,1.0,1.6154641803586112,10.31697279496486
2025-04-25 20:18:38+00:00,128,76,141.47,34.60703358985484,-98.42401477508247,34.60702252574265,-98.42402868904173,1.7706417532310206,0.05956356364168866,1.0,1.7706417532310206,9.412801866660516
2025-04-25 20:18:39+00:00,129,76,143.19,34.607043815776706,-98.42399683780968,34.60703358985484,-98.42401477508247,1.9969735020813428,0.06156053714377001,1.0,1.9969735020813428,8.345979544860837
2025-04-25 20:18:40+00:00,129,76,145.37,34.60704641416669,-98.42397328466177,34.607043815776706,-98.42399683780968,2.174883618378899,0.0637354207621489,1.0,2.174883618378899,7.6632606265262675
2025-04-25 20:18:41+00:00,129,76,147.86,34.60705513134599,-98.42394755221903,34.60704641416669,-98.42397328466177,2.5467336926996302,0.06628215445484854,1.0,2.5467336926996302,6.544343465426372
2025-04-25 20:18:42+00:00,129,76,150.07,34.60706158541143,-98.42392416670918,34.60705513134599,-98.42394755221903,2.257380162003046,0.06853953461685158,1.0,2.257380162003046,7.383204778946538
2025-04-25 20:18:43+00:00,129,78,152.83,34.60706686601043,-98.42389474622905,34.60706158541143,-98.42392416670918,2.7558692864685623,0.07129540390332015,1.0,2.7558692864685623,6.047710637741136
2025-04-25 20:18:44+00:00,129,78,155.47,34.607073571532965,-98.42386691831052,34.60706686601043,-98.42389474622905,2.6537385660438946,0.07394914246936404,1.0,2.6537385660438946,6.280460409047061
2025-04-25 20:18:45+00:00,129,78,157.7,34.60707583464682,-98.42384277842939,34.607073571532965,-98.42386691831052,2.2235896048303885,0.07617273207419445,1.0,2.2235896048303885,7.495402912387381
2025-04-25 20:18:46+00:00,129,79,160.15,34.60707583464682,-98.42381595633924,34.60707583464682,-98.42384277842939,2.4547822626994718,0.07862751433689391,1.0,2.4547822626994718,6.789482005492407
2025-04-25 20:18:47+00:00,129,79,162.7,34.607073571532965,-98.42378804460168,34.60707583464682,-98.42381595633924,2.5668729044246814,0.0811943872413186,1.0,2.5668729044246814,6.492997752740524
2025-04-25 20:18:48+00:00,130,79,165.36,34.60705756209791,-98.42376449145377,34.607073571532965,-98.42378804460168,2.7956472737304923,0.08399003451504909,1.0,2.7956472737304923,5.961660527281065
2025-04-25 20:18:49+00:00,130,78,167.29,34.60704507306218,-98.42374487780035,34.60705756209791,-98.42376449145377,2.2695334306209407,0.08625956794567002,1.0,2.2695334306209407,7.343667987054069
2025-04-25 20:18:50+00:00,130,79,170.01,34.60704213939607,-98.42371545732021,34.60704507306218,-98.42374487780035,2.7122785988968143,0.08897184654456684,1.0,2.7122785988968143,6.144907092796061
