time,latitude,longitude,ele,hr,cadence,power,dt,dist,speed_mps,speed_mps_smooth,pace_sec_km,lat_prev,lon_prev,distance_segment_m,time_prev,time_delta_s,distance_cumulative_km,pace_min_per_km,heart_rate,is_walk,planning_id
2025-05-07 20:59:23+00:00,34.602463,-98.387282,335.5,148,150,,1.0,1.8925308358036135,1.8925308358036135,2.185938196557733,457.46947538349076,34.60248,-98.387281,1.8925308358036135,2025-05-07 20:59:22+00:00,1.0,4.190215147664398,8.806567208677961,148,False,2025w19-Wed
2025-05-07 20:59:24+00:00,34.602448,-98.387284,335.5,149,150,,1.0,1.6779409582743012,1.6779409582743012,2.141930765679944,466.86849828339604,34.602463,-98.387282,1.6779409582743012,2025-05-07 20:59:23+00:00,1.0,4.191893088622672,9.932828636080895,149,True,2025w19-Wed
2025-05-07 20:59:25+00:00,34.602424,-98.387287,335.5,149,150,,1.0,2.682770274749841,2.682770274749841,2.118765097585139,471.973038039823,34.602448,-98.387284,2.682770274749841,2025-05-07 20:59:24+00:00,1.0,4.194575858897422,6.212496148800557,149,False,2025w19-Wed
2025-05-07 20:59:26+00:00,34.602408,-98.387288,335.5,150,150,,1.0,1.7814739860235518,1.7814739860235518,2.22985944812444,448.45875861867046,34.602424,-98.387287,1.7814739860235518,2025-05-07 20:59:25+00:00,1.0,4.196357332883445,9.355567429419459,150,False,2025w19-Wed
2025-05-07 20:59:27+00:00,34.602385,-98.387287,335.5,150,150,,1.0,2.559124065748049,2.559124065748049,2.388978056803084,418.5890268654012,34.602408,-98.387288,2.559124065748049,2025-05-07 20:59:26+00:00,1.0,4.198916456949193,6.51265807041997,150,False,2025w19-Wed
2025-05-07 20:59:28+00:00,34.602363,-98.387286,335.5,150,150,,1.0,2.4480033556004956,2.4480033556004956,2.35016974502162,425.5011801246725,34.602385,-98.387287,2.4480033556004956,2025-05-07 20:59:27+00:00,1.0,4.201364460304793,6.808283151193498,150,False,2025w19-Wed
2025-05-07 20:59:29+00:00,34.602341,-98.387282,335.6,151,150,,1.0,2.4735351004992525,2.4735351004992525,2.4386551466029536,410.0620792542151,34.602363,-98.387286,2.4735351004992525,2025-05-07 20:59:28+00:00,1.0,4.2038379954052925,6.7380082848373695,151,False,2025w19-Wed
2025-05-07 20:59:30+00:00,34.602319,-98.387277,335.6,151,150,,1.0,2.488728448739022,2.488728448739022,2.3952825127390462,417.4872879009512,34.602341,-98.387282,2.488728448739022,2025-05-07 20:59:29+00:00,1.0,4.206326723854031,6.696873661907393,151,False,2025w19-Wed
2025-05-07 20:59:31+00:00,34.602299,-98.387277,335.5,152,152,,1.0,2.2239016042687596,2.2239016042687596,2.373059816839075,421.39687879086165,34.602319,-98.387277,2.2239016042687596,2025-05-07 20:59:30+00:00,1.0,4.2085506254583,7.4943513543982405,152,False,2025w19-Wed
2025-05-07 20:59:32+00:00,34.602278,-98.387275,335.5,152,152,,1.0,2.34226059754477,2.34226059754477,2.34573077922901,426.30638130121565,34.602299,-98.387277,2.34226059754477,2025-05-07 20:59:31+00:00,1.0,4.210892886055844,7.11564717327805,152,False,2025w19-Wed
2025-05-07 20:59:33+00:00,34.602257,-98.387276,335.5,152,152,,1.0,2.336889722031579,2.336889722031579,2.2709228200813523,440.34961961594826,34.602278,-98.387275,2.336889722031579,2025-05-07 20:59:32+00:00,1.0,4.213229775777876,7.132001070855313,152,False,2025w19-Wed
2025-05-07 20:59:34+00:00,34.602236,-98.387275,335.5,152,152,,1.0,2.3368897243515905,2.3368897243515905,2.2945945887574557,435.80683267518265,34.602257,-98.387276,2.3368897243515905,2025-05-07 20:59:33+00:00,1.0,4.2155666655022275,7.132001063774824,152,False,2025w19-Wed
2025-05-07 20:59:35+00:00,34.602217,-98.387274,335.5,152,152,,1.0,2.1146881356631955,2.1146881356631955,2.2059743551495195,453.31442664582596,34.602236,-98.387275,2.1146881356631955,2025-05-07 20:59:34+00:00,1.0,4.217681353637891,7.881398547106849,152,False,2025w19-Wed
2025-05-07 20:59:36+00:00,34.602196,-98.387272,335.5,151,154,,1.0,2.3422606117611706,2.3422606117611706,2.0520879347472656,487.30855197156046,34.602217,-98.387274,2.3422606117611706,2025-05-07 20:59:35+00:00,1.0,4.220023614249652,7.115647130089478,151,False,2025w19-Wed
2025-05-07 20:59:37+00:00,34.602179,-98.38727,335.5,151,154,,1.0,1.899158816876214,1.899158816876214,1.9866830317595778,503.35155835821166,34.602196,-98.387272,1.899158816876214,2025-05-07 20:59:36+00:00,1.0,4.221922773066529,8.775832674917531,151,False,2025w19-Wed
2025-05-07 20:59:38+00:00,34.602165,-98.387268,335.5,150,154,,1.0,1.5674565572900157,1.5674565572900157,2.0765511798803056,481.56771173713184,34.602179,-98.38727,1.5674565572900157,2025-05-07 20:59:37+00:00,1.0,4.223490229623819,10.632958165561634,150,True,2025w19-Wed
2025-05-07 20:59:39+00:00,34.602147,-98.387266,335.5,152,154,,1.0,2.009864757798651,2.009864757798651,2.0088197591527455,497.8047410394685,34.602165,-98.387268,2.009864757798651,2025-05-07 20:59:38+00:00,1.0,4.2255000943816174,8.292448501985065,152,False,2025w19-Wed
2025-05-07 20:59:40+00:00,34.602124,-98.387264,335.5,150,152,,1.0,2.56402949683646,2.56402949683646,2.0752724175883914,481.8644489874098,34.602147,-98.387266,2.56402949683646,2025-05-07 20:59:39+00:00,1.0,4.228064123878454,6.500198231168415,150,False,2025w19-Wed
2025-05-07 20:59:41+00:00,34.602106,-98.387263,335.5,150,152,,1.0,2.003603040430424,2.003603040430424,2.2967713260578293,435.3938020100576,34.602124,-98.387264,2.003603040430424,2025-05-07 20:59:40+00:00,1.0,4.230067726918884,8.318364298558649,150,False,2025w19-Wed
2025-05-07 20:59:42+00:00,34.602086,-98.387261,335.4,150,152,,1.0,2.2314225679408404,2.2314225679408404,2.273304578522794,439.88826198106966,34.602106,-98.387263,2.2314225679408404,2025-05-07 20:59:41+00:00,1.0,4.232299149486826,7.469091797964583,150,False,2025w19-Wed
2025-05-07 20:59:43+00:00,34.602062,-98.387259,335.4,151,152,,1.0,2.67495262987764,2.67495262987764,2.3167752861475557,431.6344386005807,34.602086,-98.387261,2.67495262987764,2025-05-07 20:59:42+00:00,1.0,4.234974102116703,6.230652391314451,151,False,2025w19-Wed
2025-05-07 20:59:44+00:00,34.602045,-98.387258,335.4,151,152,,1.0,1.892530857319793,1.892530857319793,2.3845067136418456,419.3739502929328,34.602062,-98.387259,1.892530857319793,2025-05-07 20:59:43+00:00,1.0,4.2368666329740226,8.806567108556116,151,False,2025w19-Wed
2025-05-07 20:59:45+00:00,34.60202,-98.387257,335.4,152,152,,1.0,2.781383335932104,2.781383335932104,2.32331082604932,430.42023856121426,34.602045,-98.387258,2.781383335932104,2025-05-07 20:59:44+00:00,1.0,4.239648016309955,5.992234074565135,152,False,2025w19-Wed
2025-05-07 20:59:46+00:00,34.601999,-98.387259,335.4,153,152,,1.0,2.342260644900355,2.342260644900355,2.212444835477452,451.9886706165928,34.60202,-98.387257,2.342260644900355,2025-05-07 20:59:45+00:00,1.0,4.241990276954855,7.115647029414627,153,False,2025w19-Wed
