time,latitude,longitude,elevation,heart_rate,cadence,lat_prev,lon_prev,distance_segment_m,distance_cumulative_km,time_delta_s,speed_mps,pace_min_per_km
2025-04-21 00:00:22+00:00,34.607148,-98.426048,342.1,80,0,34.607152,-98.426045,0.5226988625938668,0.004484655723653721,1.0,0.5226988625938668,31.885854729609203
2025-04-21 00:00:23+00:00,34.607114,-98.426031,342.1,79,0,34.607148,-98.426048,4.088259675088724,0.008572915398742446,1.0,4.088259675088724,4.076722450277891
2025-04-21 00:00:24+00:00,34.607094,-98.426003,342.1,80,0,34.607114,-98.426031,3.393019174333747,0.011965934573076192,1.0,3.393019174333747,4.912055943000285
2025-04-21 00:00:25+00:00,34.607069,-98.425987,342.1,79,0,34.607094,-98.426003,3.1419726056714037,0.015107907178747595,1.0,3.1419726056714037,5.304533836455431
2025-04-21 00:00:26+00:00,34.60706,-98.425965,342.1,82,0,34.607069,-98.425987,2.2484516703758994,0.017356358849123496,1.0,2.2484516703758994,7.412523124063251
2025-04-21 00:00:27+00:00,34.607058,-98.425924,342.1,80,0,34.60706,-98.425965,3.7589427177588965,0.02111530156688239,1.0,3.7589427177588965,4.433879750616892
2025-04-21 00:00:28+00:00,34.60707,-98.425892,342.1,79,0,34.607058,-98.425924,3.2183182261575225,0.024333619793039912,1.0,3.2183182261575225,5.17869857136503
2025-04-21 00:00:29+00:00,34.607077,-98.425839,342.1,80,90,34.60707,-98.425892,4.912662985416963,0.029246282778456874,1.0,4.912662985416963,3.3925999095550434
2025-04-21 00:00:30+00:00,34.607082,-98.425778,342.0,84,90,34.607077,-98.425839,5.6103914692845445,0.034856674247741415,1.0,5.6103914692845445,2.9706839694245777
2025-04-21 00:00:31+00:00,34.607086,-98.425721,342.0,86,90,34.607082,-98.425778,5.235618575450557,0.040092292823191975,1.0,5.235618575450557,3.1833296791613064
2025-04-21 00:00:32+00:00,34.607092,-98.425667,342.0,90,87,34.607086,-98.425721,4.986958230324124,0.0450792510535161,1.0,4.986958230324124,3.342057268227161
2025-04-21 00:00:33+00:00,34.607094,-98.425606,341.9,93,87,34.607092,-98.425667,5.58720243416229,0.0506664534876784,1.0,5.58720243416229,2.983013448392961
2025-04-21 00:00:34+00:00,34.607097,-98.425549,341.9,95,89,34.607094,-98.425606,5.227345780454031,0.05589379926813243,1.0,5.227345780454031,3.1883676152283122
2025-04-21 00:00:35+00:00,34.6071,-98.425491,341.9,98,89,34.607097,-98.425549,5.31868314638806,0.061212482414520486,1.0,5.31868314638806,3.1336140058124022
2025-04-21 00:00:36+00:00,34.607102,-98.425438,341.9,101,89,34.6071,-98.425491,4.855702467047132,0.06606818488156761,1.0,4.855702467047132,3.432397292277963
2025-04-21 00:00:37+00:00,34.607095,-98.425392,341.8,103,89,34.607102,-98.425438,4.281311071040199,0.07034949595260781,1.0,4.281311071040199,3.8928962935530427
2025-04-21 00:00:38+00:00,34.607078,-98.425341,341.8,105,89,34.607095,-98.425392,5.035818647279362,0.07538531459988716,1.0,5.035818647279362,3.3096307010587656
2025-04-21 00:00:39+00:00,34.607065,-98.425291,341.8,107,87,34.607078,-98.425341,4.798934449392482,0.08018424904927965,1.0,4.798934449392482,3.473000136959551
2025-04-21 00:00:40+00:00,34.607054,-98.425239,341.8,109,87,34.607065,-98.425291,4.913757207969885,0.08509800625724952,1.0,4.913757207969885,3.3918444266980443
2025-04-21 00:00:41+00:00,34.60705,-98.425188,341.8,110,86,34.607054,-98.425239,4.688712097294591,0.08978671835454412,1.0,4.688712097294591,3.5546435042613864
2025-04-21 00:00:42+00:00,34.607055,-98.425141,341.8,112,86,34.60705,-98.425188,4.337265905722465,0.09412398426026658,1.0,4.337265905722465,3.842674247389451
2025-04-21 00:00:43+00:00,34.607057,-98.425095,341.8,113,85,34.607055,-98.425141,4.215832902956206,0.09833981716322279,1.0,4.215832902956206,3.953358774801785
2025-04-21 00:00:44+00:00,34.60706,-98.42505,341.9,111,85,34.607057,-98.425095,4.131929853191676,0.10247174701641447,1.0,4.131929853191676,4.033635756697549
2025-04-21 00:00:45+00:00,34.607063,-98.425006,341.9,113,85,34.60706,-98.42505,4.04071427910078,0.10651246129551525,1.0,4.04071427910078,4.124691539365412
2025-04-21 00:00:46+00:00,34.607062,-98.424963,341.9,113,84,34.607063,-98.425006,3.936970623261775,0.11044943191877703,1.0,3.936970623261775,4.2333818549531514
2025-04-21 00:00:47+00:00,34.607063,-98.424922,341.9,119,84,34.607062,-98.424963,3.7540053450885758,0.1142034372638656,1.0,3.7540053450885758,4.439711313092642
2025-04-21 00:00:48+00:00,34.607063,-98.424885,341.9,120,83,34.607063,-98.424922,3.3862744182321265,0.11758971168209771,1.0,3.3862744182321265,4.921839739350241
2025-04-21 00:00:49+00:00,34.607066,-98.424849,341.8,121,83,34.607063,-98.424885,3.3115976918927648,0.12090130937399049,1.0,3.3115976918927648,5.032827520324197
2025-04-21 00:00:50+00:00,34.607063,-98.424812,341.8,120,83,34.607066,-98.424849,3.4026655925164153,0.1243039749665069,1.0,3.4026655925164153,4.898130464731995
2025-04-21 00:00:51+00:00,34.607058,-98.424771,341.8,123,83,34.607063,-98.424812,3.7933232264996932,0.12809729819300658,1.0,3.7933232264996932,4.393693604480753
2025-04-21 00:00:52+00:00,34.607058,-98.424733,341.8,121,82,34.607058,-98.424771,3.477795558254556,0.13157509375126114,1.0,3.477795558254556,4.7923173518470765
2025-04-21 00:00:53+00:00,34.607057,-98.424695,341.8,124,82,34.607058,-98.424733,3.479572738843473,0.1350546664901046,1.0,3.479572738843473,4.789869691167776
2025-04-21 00:00:54+00:00,34.607059,-98.424657,341.8,125,82,34.607057,-98.424695,3.4848987544660166,0.13853956524457064,1.0,3.4848987544660166,4.782549271665656
2025-04-21 00:00:55+00:00,34.60706,-98.424621,341.7,126,82,34.607059,-98.424657,3.2966294624806673,0.1418361947070513,1.0,3.2966294624806673,5.055678895576739
2025-04-21 00:00:56+00:00,34.607059,-98.424581,341.7,126,82,34.60706,-98.424621,3.662525705774395,0.1454987204128257,1.0,3.662525705774395,4.5506028732366355
2025-04-21 00:00:57+00:00,34.607058,-98.42454,341.7,127,82,34.607059,-98.424581,3.7540055257737834,0.14925272593859948,1.0,3.7540055257737834,4.4397110994035165
2025-04-21 00:00:58+00:00,34.607057,-98.424501,341.7,124,82,34.607058,-98.42454,3.571048127398466,0.15282377406599792,1.0,3.571048127398466,4.66717316748733
2025-04-21 00:00:59+00:00,34.607056,-98.424463,341.7,126,82,34.607057,-98.424501,3.4795727806613335,0.15630334684665925,1.0,3.4795727806613335,4.789869633602634
2025-04-21 00:01:00+00:00,34.607053,-98.424428,341.7,128,82,34.607056,-98.424463,3.220555856980373,0.15952390270363964,1.0,3.220555856980373,5.175100429907424
2025-04-21 00:01:01+00:00,34.607051,-98.424391,341.6,130,82,34.607053,-98.424428,3.3935696346479802,0.1629174723382876,1.0,3.3935696346479802,4.911259173772298
2025-04-21 00:01:02+00:00,34.60705,-98.424354,341.6,128,82,34.607051,-98.424391,3.3881000932327705,0.1663055724315204,1.0,3.3881000932327705,4.919187609979194
2025-04-21 00:01:03+00:00,34.60705,-98.424317,341.6,129,82,34.60705,-98.424354,3.386274948401196,0.16969184737992157,1.0,3.386274948401196,4.9218389687668616
2025-04-21 00:01:04+00:00,34.607047,-98.424279,341.6,129,82,34.60705,-98.424317,3.4937578384183063,0.17318560521833987,1.0,3.4937578384183063,4.770422213219375
2025-04-21 00:01:05+00:00,34.607045,-98.424241,341.6,129,82,34.607047,-98.424279,3.4848992560098595,0.17667050447434973,1.0,3.4848992560098595,4.782548583365087
2025-04-21 00:01:06+00:00,34.607049,-98.424206,341.6,129,82,34.607045,-98.424241,3.233965415776939,0.17990446989012668,1.0,3.233965415776939,5.153642002073152
2025-04-21 00:01:07+00:00,34.607049,-98.42417,341.5,128,82,34.607049,-98.424206,3.2947540431521922,0.18319922393327887,1.0,3.2947540431521922,5.058556657556888
2025-04-21 00:01:08+00:00,34.607045,-98.424132,341.5,130,82,34.607049,-98.42417,3.5061224582083397,0.1867053463914872,1.0,3.5061224582083397,4.75359893975775
2025-04-21 00:01:09+00:00,34.607043,-98.424094,341.5,131,82,34.607045,-98.424132,3.4848993396080084,0.19019024573109522,1.0,3.4848993396080084,4.782548468638041
2025-04-21 00:01:10+00:00,34.60704,-98.424055,341.5,131,82,34.607043,-98.424094,3.5848716034179087,0.1937751173345131,1.0,3.5848716034179087,4.649176272899018
2025-04-21 00:01:11+00:00,34.607036,-98.424017,341.5,132,82,34.60704,-98.424055,3.506122830878151,0.19728124016539128,1.0,3.506122830878151,4.7535984344922735
2025-04-21 00:01:12+00:00,34.607039,-98.423982,341.4,132,82,34.607036,-98.424017,3.2205565115912305,0.2005017966769825,1.0,3.2205565115912305,5.1750993780156405
2025-04-21 00:01:13+00:00,34.607042,-98.423947,341.4,132,82,34.607039,-98.423982,3.2205563953223373,0.20372235307230485,1.0,3.2205563953223373,5.175099564847667
