time,latitude,longitude,elevation,heart_rate,cadence,lat_prev,lon_prev,distance_segment_m,distance_cumulative_km,time_delta_s,speed_mps,pace_min_per_km,pace_sec_km,pace_min_per_mile,dist,dt,planning_id
2025-04-29 19:11:20+00:00,34.607123,-98.426097,342.0,115,0,,,0.0,0.0,0.0,,,,,0.0,0.0,2025w18-Tue
2025-04-29 19:11:21+00:00,34.607123,-98.426097,342.0,115,0,34.607123,-98.426097,0.0,0.0,1.0,0.0,,,,0.0,1.0,2025w18-Tue
2025-04-29 19:13:06+00:00,34.607123,-98.426097,342.0,115,0,34.607123,-98.426097,0.0,0.0,105.0,0.0,,,,0.0,105.0,2025w18-Tue
2025-04-29 19:13:07+00:00,34.607137,-98.426104,342.1,115,0,34.607123,-98.426097,1.6834010455975528,0.0016834010455975528,1.0,1.6834010455975528,9.900611647822673,594.0366988693604,15.933450349306941,1.6834010455975528,1.0,2025w18-Tue
2025-04-29 19:13:08+00:00,34.607122,-98.426095,342.1,115,0,34.607137,-98.426104,1.8602255960958034,0.003543626641693356,1.0,1.8602255960958034,8.959504715438637,537.5702829263182,14.418889318744016,1.8602255960958034,1.0,2025w18-Tue
2025-04-29 19:13:09+00:00,34.607088,-98.426076,342.1,115,0,34.607122,-98.426095,4.161363464947533,0.007704990106640889,1.0,4.161363464947533,4.005105571860962,240.3063343116577,6.44557660101872,4.161363464947533,1.0,2025w18-Tue
2025-04-29 19:13:10+00:00,34.60708,-98.426079,342.1,115,0,34.607088,-98.426076,0.930968754652302,0.00863595886129319,1.0,0.930968754652302,17.902534232982582,1074.1520539789549,28.81126444250819,0.930968754652302,1.0,2025w18-Tue
2025-04-29 19:13:11+00:00,34.607075,-98.426079,342.1,115,0,34.60708,-98.426079,0.5559754012440209,0.009191934262537211,1.0,0.5559754012440209,29.977405408058488,1798.6443244835093,48.24383761940484,0.5559754012440209,1.0,2025w18-Tue
2025-04-29 19:13:12+00:00,34.607054,-98.426067,342.1,115,51,34.607075,-98.426079,2.5804712948957342,0.011772405557432945,1.0,2.5804712948957342,6.458781398951166,387.52688393707,10.39437525658807,2.5804712948957342,1.0,2025w18-Tue
2025-04-29 19:13:13+00:00,34.607035,-98.42605,342.1,115,53,34.607054,-98.426067,2.623779192054048,0.014396184749486993,1.0,2.623779192054048,6.352173250887141,381.1303950532284,10.222806499582711,2.623779192054048,1.0,2025w18-Tue
2025-04-29 19:13:14+00:00,34.607023,-98.426033,342.1,115,55,34.607035,-98.42605,2.049671949317816,0.01644585669880481,1.0,2.049671949317816,8.131398785814048,487.8839271488429,13.08618532196198,2.049671949317816,1.0,2025w18-Tue
2025-04-29 19:13:15+00:00,34.607016,-98.426011,342.1,115,55,34.607023,-98.426033,2.1586755762609733,0.018604532275065783,1.0,2.1586755762609733,7.720798893212232,463.2479335927339,12.425390490802172,2.1586755762609733,1.0,2025w18-Tue
2025-04-29 19:13:16+00:00,34.607012,-98.425986,342.1,115,55,34.607016,-98.426011,2.3308552373333122,0.020935387512399095,1.0,2.3308552373333122,7.150465517141278,429.0279310284767,11.507530175356145,2.3308552373333122,1.0,2025w18-Tue
2025-04-29 19:13:17+00:00,34.607003,-98.425963,342.1,115,55,34.607012,-98.425986,2.3307648120837197,0.023266152324482817,1.0,2.3307648120837197,7.150742929356246,429.0445757613748,11.507976625930182,2.3307648120837197,1.0,2025w18-Tue
2025-04-29 19:13:18+00:00,34.606997,-98.425943,342.1,115,55,34.607003,-98.425963,1.9482181090668769,0.025214370433549693,1.0,1.9482181090668769,8.554842972885988,513.2905783731593,13.767650989984336,1.9482181090668769,1.0,2025w18-Tue
2025-04-29 19:13:19+00:00,34.606991,-98.425922,342.1,115,55,34.606997,-98.425943,2.0344468950305656,0.02724881732858026,1.0,2.0344468950305656,8.19225119156998,491.5350714941988,13.184117532641231,2.0344468950305656,1.0,2025w18-Tue
2025-04-29 19:13:20+00:00,34.606984,-98.425897,342.1,115,55,34.606991,-98.425922,2.416798064941683,0.029665615393521944,1.0,2.416798064941683,6.8961905596370805,413.77143357822484,11.098315315246339,2.416798064941683,1.0,2025w18-Tue
2025-04-29 19:13:21+00:00,34.60698,-98.425872,342.1,115,56,34.606984,-98.425897,2.3308561026370556,0.031996471496159,1.0,2.3308561026370556,7.15046286261251,429.0277717567506,11.507525903316818,2.3308561026370556,1.0,2025w18-Tue
2025-04-29 19:13:22+00:00,34.60698,-98.425841,342.1,115,57,34.60698,-98.425872,2.8371516729763617,0.034833623169135366,1.0,2.8371516729763617,5.874448010217063,352.46688061302376,9.453984160762728,2.8371516729763617,1.0,2025w18-Tue
2025-04-29 19:13:23+00:00,34.606988,-98.4258,342.1,115,59,34.60698,-98.425841,3.8563631239379905,0.03868998629307335,1.0,3.8563631239379905,4.3218699755070045,259.3121985304203,6.955358226382443,3.8563631239379905,1.0,2025w18-Tue
2025-04-29 19:13:24+00:00,34.606996,-98.425764,342.0,115,61,34.606988,-98.4258,3.4127316396512697,0.042102717932724625,1.0,3.4127316396512697,4.883683148817141,293.0209889290285,7.859506638717378,3.4127316396512697,1.0,2025w18-Tue
2025-04-29 19:13:25+00:00,34.607006,-98.425724,342.0,115,66,34.606996,-98.425764,3.825987933762246,0.045928705866486876,1.0,3.825987933762246,4.356182060305394,261.3709236183236,7.010578036931883,3.825987933762246,1.0,2025w18-Tue
