time,latitude,longitude,elevation,heart_rate,cadence,lat_prev,lon_prev,distance_segment_m,distance_cumulative_km,time_delta_s,speed_mps,pace_min_per_km,pace_sec_km,pace_min_per_mile,dist,dt,planning_id
2025-04-25 20:18:20+00:00,34.607066,-98.424266,341.6,119,83,34.607066,-98.424266,0.0,0.0,1.0,0.0,,,,0.0,1.0,2025w17-Fri
2025-04-25 20:18:21+00:00,34.607066,-98.424266,341.6,119,83,34.607066,-98.424266,0.0,0.0,1.0,0.0,,,,0.0,1.0,2025w17-Fri
2025-04-25 20:18:22+00:00,34.607066,-98.424266,341.6,122,82,34.607066,-98.424266,0.0,0.0,1.0,0.0,,,,0.0,1.0,2025w17-Fri
2025-04-25 20:18:23+00:00,34.607066,-98.424266,341.6,123,82,34.607066,-98.424266,0.0,0.0,1.0,0.0,,,,0.0,1.0,2025w17-Fri
2025-04-25 20:18:24+00:00,34.607066,-98.424266,341.6,122,82,34.607066,-98.424266,0.0,0.0,1.0,0.0,,,,0.0,1.0,2025w17-Fri
2025-04-25 20:18:25+00:00,34.607066,-98.424266,341.6,122,82,34.607066,-98.424266,0.0,0.0,1.0,0.0,,,,0.0,1.0,2025w17-Fri
2025-04-25 20:18:26+00:00,34.607066,-98.424266,341.6,122,82,34.607066,-98.424266,0.0,0.0,1.0,0.0,,,,0.0,1.0,2025w17-Fri
2025-04-25 20:18:27+00:00,34.607066,-98.424266,341.6,122,82,34.607066,-98.424266,0.0,0.0,1.0,0.0,,,,0.0,1.0,2025w17-Fri
2025-04-25 20:18:28+00:00,34.607066,-98.424266,341.6,122,82,34.607066,-98.424266,0.0,0.0,1.0,0.0,,,,0.0,1.0,2025w17-Fri
2025-04-25 20:18:29+00:00,34.607066,-98.424266,341.6,122,81,34.607066,-98.424266,0.0,0.0,1.0,0.0,,,,0.0,1.0,2025w17-Fri
2025-04-25 20:18:30+00:00,34.607237,-98.424289,341.6,123,80,34.607066,-98.424266,19.130519458108047,0.019130519458108047,1.0,19.130519458108047,0.8712100074698278,52.27260044818967,1.4020731134214928,19.130519458108047,1.0,2025w17-Fri
2025-04-25 20:18:31+00:00,34.607089,-98.424239,341.5,123,79,34.607237,-98.424289,17.081240678933717,0.03621176013704176,1.0,17.081240678933717,0.975731231312432,58.54387387874592,1.5702832998003493,17.081240678933717,1.0,2025w17-Fri
2025-04-25 20:18:32+00:00,34.607056,-98.424187,341.5,123,78,34.607089,-98.424239,6.009466665888791,0.042221226802930556,1.0,6.009466665888791,2.7734075129502394,166.40445077701435,4.463355646891338,6.009466665888791,1.0,2025w17-Fri
2025-04-25 20:18:33+00:00,34.60704,-98.424146,341.5,123,78,34.607056,-98.424187,4.152766456818576,0.046373993259749134,1.0,4.152766456818576,4.013396894167826,240.80381365006957,6.4589201576600495,4.152766456818576,1.0,2025w17-Fri
2025-04-25 20:18:34+00:00,34.607035,-98.424094,341.5,124,78,34.60704,-98.424146,4.791455382676122,0.051165448642425254,1.0,4.791455382676122,3.478421203766134,208.70527222596806,5.59796238006899,4.791455382676122,1.0,2025w17-Fri
2025-04-25 20:18:35+00:00,34.607025,-98.424067,341.5,125,78,34.607035,-98.424094,2.7097236487555167,0.053875172291180766,1.0,2.7097236487555167,6.150701016191981,369.0420609715188,9.898569173398402,2.7097236487555167,1.0,2025w17-Fri
2025-04-25 20:18:36+00:00,34.607016,-98.424045,341.5,126,78,34.607025,-98.424067,2.2484526244598677,0.05612362491564063,1.0,2.2484526244598677,7.41251997871369,444.7511987228214,11.92926490254309,2.2484526244598677,1.0,2025w17-Fri
2025-04-25 20:18:37+00:00,34.607023,-98.424029,341.5,127,77,34.607016,-98.424045,1.658352148613062,0.0577819770642537,1.0,1.658352148613062,10.05015732873078,603.0094397238468,16.174120195419594,1.658352148613062,1.0,2025w17-Fri
2025-04-25 20:18:38+00:00,34.607034,-98.424015,341.5,128,76,34.607023,-98.424029,1.7713833652579207,0.05955336042951161,1.0,1.7713833652579207,9.40886107823038,564.5316646938228,15.14205648763928,1.7713833652579207,1.0,2025w17-Fri
2025-04-25 20:18:39+00:00,34.607044,-98.423997,341.4,129,76,34.607034,-98.424015,1.9875327147118844,0.061540893144223494,1.0,1.9875327147118844,8.385622976986332,503.1373786191799,13.495318481783183,1.9875327147118844,1.0,2025w17-Fri
2025-04-25 20:18:40+00:00,34.607046,-98.423973,341.4,129,76,34.607044,-98.423997,2.2077323069442585,0.06374862545116776,1.0,2.2077323069442585,7.549239528531665,452.95437171189985,12.14929314284715,2.2077323069442585,1.0,2025w17-Fri
2025-04-25 20:18:41+00:00,34.607055,-98.423948,341.4,129,76,34.607046,-98.423973,2.497311357774366,0.06624593680894211,1.0,2.497311357774366,6.673857445974844,400.4314467584906,10.740505742105155,2.497311357774366,1.0,2025w17-Fri
2025-04-25 20:18:42+00:00,34.607062,-98.423924,341.4,129,76,34.607055,-98.423948,2.3303381586982237,0.06857627496764035,1.0,2.3303381586982237,7.152052133631272,429.1231280178763,11.51008358073815,2.3303381586982237,1.0,2025w17-Fri
2025-04-25 20:18:43+00:00,34.607067,-98.423895,341.4,129,78,34.607062,-98.423924,2.7117138929531457,0.07128798886059348,1.0,2.7117138929531457,6.146186750494321,368.77120502965926,9.89130418504053,2.7117138929531457,1.0,2025w17-Fri
2025-04-25 20:18:44+00:00,34.607074,-98.423867,341.3,129,78,34.607067,-98.423895,2.6781895013856714,0.07396617836197916,1.0,2.6781895013856714,6.223121997669245,373.3873198601547,10.015119155729023,2.6781895013856714,1.0,2025w17-Fri
2025-04-25 20:18:45+00:00,34.607076,-98.423843,341.3,129,78,34.607074,-98.423867,2.2077315186102004,0.07617390988058936,1.0,2.2077315186102004,7.54924222420484,452.9545334522904,12.149297481101817,2.2077315186102004,1.0,2025w17-Fri
2025-04-25 20:18:46+00:00,34.607076,-98.423816,341.3,129,79,34.607076,-98.423843,2.4710647288437553,0.07864497460943312,1.0,2.4710647288437553,6.744744403275334,404.68466419652003,10.854586957967125,2.4710647288437553,1.0,2025w17-Fri
2025-04-25 20:18:47+00:00,34.607074,-98.423788,341.3,129,79,34.607076,-98.423816,2.5722174745227484,0.08121719208395586,1.0,2.5722174745227484,6.479506560032353,388.7703936019412,10.427729087322467,2.5722174745227484,1.0,2025w17-Fri
2025-04-25 20:18:48+00:00,34.607058,-98.423764,341.3,130,79,34.607074,-98.423788,2.826640170781932,0.0840438322547378,1.0,2.826640170781932,5.896293476714264,353.7776086028558,9.489140943815332,2.826640170781932,1.0,2025w17-Fri
2025-04-25 20:18:49+00:00,34.607045,-98.423745,341.2,130,78,34.607058,-98.423764,2.2612696472650393,0.08630510190200283,1.0,2.2612696472650393,7.3705053354243,442.23032012545804,11.861649056511743,2.2612696472650393,1.0,2025w17-Fri
2025-04-25 20:18:50+00:00,34.607042,-98.423715,341.2,130,79,34.607045,-98.423745,2.7658190927273973,0.08907092099473023,1.0,2.7658190927273973,6.025954497105169,361.5572698263101,9.697809610371232,2.7658190927273973,1.0,2025w17-Fri
2025-04-25 20:18:51+00:00,34.60704,-98.423691,341.2,130,79,34.607042,-98.423715,2.2077324122906288,0.09127865340702085,1.0,2.2077324122906288,7.5492391683045925,452.95435009827554,12.149292563119312,2.2077324122906288,1.0,2025w17-Fri
2025-04-25 20:18:52+00:00,34.607041,-98.423654,341.2,130,79,34.60704,-98.423691,3.388100500858539,0.0946667539078794,1.0,3.388100500858539,4.9191870181468005,295.15122108880803,7.916644435784372,3.388100500858539,1.0,2025w17-Fri
2025-04-25 20:18:53+00:00,34.607041,-98.423624,341.2,130,79,34.607041,-98.423654,2.7456286349911943,0.09741238254287059,1.0,2.7456286349911943,6.07026740164132,364.2160440984792,9.769124140157441,2.7456286349911943,1.0,2025w17-Fri
2025-04-25 20:18:54+00:00,34.607042,-98.423595,341.2,131,79,34.607041,-98.423624,2.656435927847925,0.10006881847071851,1.0,2.656435927847925,6.274083189916158,376.4449913949695,10.09713304085967,2.656435927847925,1.0,2025w17-Fri
2025-04-25 20:18:55+00:00,34.60704,-98.42357,341.2,132,80,34.607042,-98.423595,2.2988063372587226,0.10236762480797723,1.0,2.2988063372587226,7.250154016834094,435.0092410100457,11.66796286545178,2.2988063372587226,1.0,2025w17-Fri
