time,latitude,longitude,elevation,heart_rate,cadence,lat_prev,lon_prev,distance_segment_m,distance_cumulative_km,time_delta_s,speed_mps,pace_min_per_km
2025-04-29 19:11:20+00:00,34.607123,-98.426097,342.0,115,0,,,0.0,0.0,0.0,,
2025-04-29 19:11:21+00:00,34.607123,-98.426097,342.0,115,0,34.607123,-98.426097,0.0,0.0,1.0,0.0,
2025-04-29 19:13:06+00:00,34.607123,-98.426097,342.0,115,0,34.607123,-98.426097,0.0,0.0,105.0,0.0,
2025-04-29 19:13:07+00:00,34.607137,-98.426104,342.1,115,0,34.607123,-98.426097,1.6834010455975528,0.0016834010455975528,1.0,1.6834010455975528,9.900611647822673
2025-04-29 19:13:08+00:00,34.607122,-98.426095,342.1,115,0,34.607137,-98.426104,1.8602255960958034,0.003543626641693356,1.0,1.8602255960958034,8.959504715438637
2025-04-29 19:13:09+00:00,34.607088,-98.426076,342.1,115,0,34.607122,-98.426095,4.161363464947533,0.007704990106640889,1.0,4.161363464947533,4.005105571860962
2025-04-29 19:13:10+00:00,34.60708,-98.426079,342.1,115,0,34.607088,-98.426076,0.930968754652302,0.00863595886129319,1.0,0.930968754652302,17.902534232982582
2025-04-29 19:13:11+00:00,34.607075,-98.426079,342.1,115,0,34.60708,-98.426079,0.5559754012440209,0.009191934262537211,1.0,0.5559754012440209,29.977405408058488
2025-04-29 19:13:12+00:00,34.607054,-98.426067,342.1,115,51,34.607075,-98.426079,2.5804712948957342,0.011772405557432945,1.0,2.5804712948957342,6.458781398951166
2025-04-29 19:13:13+00:00,34.607035,-98.42605,342.1,115,53,34.607054,-98.426067,2.623779192054048,0.014396184749486993,1.0,2.623779192054048,6.352173250887141
2025-04-29 19:13:14+00:00,34.607023,-98.426033,342.1,115,55,34.607035,-98.42605,2.049671949317816,0.01644585669880481,1.0,2.049671949317816,8.131398785814048
2025-04-29 19:13:15+00:00,34.607016,-98.426011,342.1,115,55,34.607023,-98.426033,2.1586755762609733,0.018604532275065783,1.0,2.1586755762609733,7.720798893212232
2025-04-29 19:13:16+00:00,34.607012,-98.425986,342.1,115,55,34.607016,-98.426011,2.3308552373333122,0.020935387512399095,1.0,2.3308552373333122,7.150465517141278
2025-04-29 19:13:17+00:00,34.607003,-98.425963,342.1,115,55,34.607012,-98.425986,2.3307648120837197,0.023266152324482817,1.0,2.3307648120837197,7.150742929356246
2025-04-29 19:13:18+00:00,34.606997,-98.425943,342.1,115,55,34.607003,-98.425963,1.9482181090668769,0.025214370433549693,1.0,1.9482181090668769,8.554842972885988
2025-04-29 19:13:19+00:00,34.606991,-98.425922,342.1,115,55,34.606997,-98.425943,2.0344468950305656,0.02724881732858026,1.0,2.0344468950305656,8.19225119156998
2025-04-29 19:13:20+00:00,34.606984,-98.425897,342.1,115,55,34.606991,-98.425922,2.416798064941683,0.029665615393521944,1.0,2.416798064941683,6.8961905596370805
2025-04-29 19:13:21+00:00,34.60698,-98.425872,342.1,115,56,34.606984,-98.425897,2.3308561026370556,0.031996471496159,1.0,2.3308561026370556,7.15046286261251
2025-04-29 19:13:22+00:00,34.60698,-98.425841,342.1,115,57,34.60698,-98.425872,2.8371516729763617,0.034833623169135366,1.0,2.8371516729763617,5.874448010217063
2025-04-29 19:13:23+00:00,34.606988,-98.4258,342.1,115,59,34.60698,-98.425841,3.8563631239379905,0.03868998629307335,1.0,3.8563631239379905,4.3218699755070045
2025-04-29 19:13:24+00:00,34.606996,-98.425764,342.0,115,61,34.606988,-98.4258,3.4127316396512697,0.042102717932724625,1.0,3.4127316396512697,4.883683148817141
2025-04-29 19:13:25+00:00,34.607006,-98.425724,342.0,115,66,34.606996,-98.425764,3.825987933762246,0.045928705866486876,1.0,3.825987933762246,4.356182060305394
2025-04-29 19:13:26+00:00,34.607015,-98.425682,342.0,115,69,34.607006,-98.425724,3.9720192616290153,0.049900725128115886,1.0,3.9720192616290153,4.196026983304358
2025-04-29 19:13:27+00:00,34.607023,-98.425644,341.9,115,75,34.607015,-98.425682,3.589762030324038,0.053490487158439924,1.0,3.589762030324038,4.642842578201637
2025-04-29 19:13:28+00:00,34.607027,-98.425606,341.9,115,78,34.607023,-98.425644,3.5061233722213747,0.0569966105306613,1.0,3.5061233722213747,4.753597700539692
2025-04-29 19:13:29+00:00,34.60703,-98.425569,341.9,115,81,34.607027,-98.425606,3.402667054693559,0.060399277585354856,1.0,3.402667054693559,4.898128359931761
2025-04-29 19:13:30+00:00,34.60703,-98.425533,341.9,115,83,34.60703,-98.425569,3.294754797072124,0.06369403238242698,1.0,3.294754797072124,5.058555500036246
2025-04-29 19:13:31+00:00,34.607032,-98.425499,341.9,116,83,34.60703,-98.425533,3.119649676973305,0.06681368205940029,1.0,3.119649676973305,5.342490896660579
2025-04-29 19:13:32+00:00,34.607035,-98.425468,341.9,117,83,34.607032,-98.425499,2.8566936055304435,0.06967037566493073,1.0,2.8566936055304435,5.834262368121642
2025-04-29 19:13:33+00:00,34.607035,-98.425435,341.9,118,83,34.607035,-98.425468,3.0201917166138483,0.07269056738154459,1.0,3.0201917166138483,5.5184245120327065
2025-04-29 19:13:34+00:00,34.607037,-98.425399,341.9,118,83,34.607035,-98.425435,3.302251503884395,0.07599281888542897,1.0,3.302251503884395,5.047071666223841
2025-04-29 19:13:35+00:00,34.607037,-98.425366,341.8,122,82,34.607037,-98.425399,3.020191643867195,0.07901301052929617,1.0,3.020191643867195,5.518424644953713
