time,latitude,longitude,elevation,heart_rate,cadence,lat_prev,lon_prev,distance_segment_m,distance_cumulative_km,time_delta_s,speed_mps,pace_min_per_km
2025-04-25 20:18:20+00:00,34.607066,-98.424266,341.6,119,83,34.607066,-98.424266,0.0,0.0,1.0,0.0,
2025-04-25 20:18:21+00:00,34.607066,-98.424266,341.6,119,83,34.607066,-98.424266,0.0,0.0,1.0,0.0,
2025-04-25 20:18:22+00:00,34.607066,-98.424266,341.6,122,82,34.607066,-98.424266,0.0,0.0,1.0,0.0,
2025-04-25 20:18:23+00:00,34.607066,-98.424266,341.6,123,82,34.607066,-98.424266,0.0,0.0,1.0,0.0,
2025-04-25 20:18:24+00:00,34.607066,-98.424266,341.6,122,82,34.607066,-98.424266,0.0,0.0,1.0,0.0,
2025-04-25 20:18:25+00:00,34.607066,-98.424266,341.6,122,82,34.607066,-98.424266,0.0,0.0,1.0,0.0,
2025-04-25 20:18:26+00:00,34.607066,-98.424266,341.6,122,82,34.607066,-98.424266,0.0,0.0,1.0,0.0,
2025-04-25 20:18:27+00:00,34.607066,-98.424266,341.6,122,82,34.607066,-98.424266,0.0,0.0,1.0,0.0,
2025-04-25 20:18:28+00:00,34.607066,-98.424266,341.6,122,82,34.607066,-98.424266,0.0,0.0,1.0,0.0,
2025-04-25 20:18:29+00:00,34.607066,-98.424266,341.6,122,81,34.607066,-98.424266,0.0,0.0,1.0,0.0,
2025-04-25 20:18:30+00:00,34.607237,-98.424289,341.6,123,80,34.607066,-98.424266,19.130519458108047,0.019130519458108047,1.0,19.130519458108047,0.8712100074698278
2025-04-25 20:18:31+00:00,34.607089,-98.424239,341.5,123,79,34.607237,-98.424289,17.081240678933717,0.03621176013704176,1.0,17.081240678933717,0.975731231312432
2025-04-25 20:18:32+00:00,34.607056,-98.424187,341.5,123,78,34.607089,-98.424239,6.009466665888791,0.042221226802930556,1.0,6.009466665888791,2.7734075129502394
2025-04-25 20:18:33+00:00,34.60704,-98.424146,341.5,123,78,34.607056,-98.424187,4.152766456818576,0.046373993259749134,1.0,4.152766456818576,4.013396894167826
2025-04-25 20:18:34+00:00,34.607035,-98.424094,341.5,124,78,34.60704,-98.424146,4.791455382676122,0.051165448642425254,1.0,4.791455382676122,3.478421203766134
2025-04-25 20:18:35+00:00,34.607025,-98.424067,341.5,125,78,34.607035,-98.424094,2.7097236487555167,0.053875172291180766,1.0,2.7097236487555167,6.150701016191981
2025-04-25 20:18:36+00:00,34.607016,-98.424045,341.5,126,78,34.607025,-98.424067,2.2484526244598677,0.05612362491564063,1.0,2.2484526244598677,7.41251997871369
2025-04-25 20:18:37+00:00,34.607023,-98.424029,341.5,127,77,34.607016,-98.424045,1.658352148613062,0.0577819770642537,1.0,1.658352148613062,10.05015732873078
2025-04-25 20:18:38+00:00,34.607034,-98.424015,341.5,128,76,34.607023,-98.424029,1.7713833652579207,0.05955336042951161,1.0,1.7713833652579207,9.40886107823038
2025-04-25 20:18:39+00:00,34.607044,-98.423997,341.4,129,76,34.607034,-98.424015,1.9875327147118844,0.061540893144223494,1.0,1.9875327147118844,8.385622976986332
2025-04-25 20:18:40+00:00,34.607046,-98.423973,341.4,129,76,34.607044,-98.423997,2.2077323069442585,0.06374862545116776,1.0,2.2077323069442585,7.549239528531665
2025-04-25 20:18:41+00:00,34.607055,-98.423948,341.4,129,76,34.607046,-98.423973,2.497311357774366,0.06624593680894211,1.0,2.497311357774366,6.673857445974844
2025-04-25 20:18:42+00:00,34.607062,-98.423924,341.4,129,76,34.607055,-98.423948,2.3303381586982237,0.06857627496764035,1.0,2.3303381586982237,7.152052133631272
2025-04-25 20:18:43+00:00,34.607067,-98.423895,341.4,129,78,34.607062,-98.423924,2.7117138929531457,0.07128798886059348,1.0,2.7117138929531457,6.146186750494321
2025-04-25 20:18:44+00:00,34.607074,-98.423867,341.3,129,78,34.607067,-98.423895,2.6781895013856714,0.07396617836197916,1.0,2.6781895013856714,6.223121997669245
2025-04-25 20:18:45+00:00,34.607076,-98.423843,341.3,129,78,34.607074,-98.423867,2.2077315186102004,0.07617390988058936,1.0,2.2077315186102004,7.54924222420484
2025-04-25 20:18:46+00:00,34.607076,-98.423816,341.3,129,79,34.607076,-98.423843,2.4710647288437553,0.07864497460943312,1.0,2.4710647288437553,6.744744403275334
2025-04-25 20:18:47+00:00,34.607074,-98.423788,341.3,129,79,34.607076,-98.423816,2.5722174745227484,0.08121719208395586,1.0,2.5722174745227484,6.479506560032353
2025-04-25 20:18:48+00:00,34.607058,-98.423764,341.3,130,79,34.607074,-98.423788,2.826640170781932,0.0840438322547378,1.0,2.826640170781932,5.896293476714264
2025-04-25 20:18:49+00:00,34.607045,-98.423745,341.2,130,78,34.607058,-98.423764,2.2612696472650393,0.08630510190200283,1.0,2.2612696472650393,7.3705053354243
2025-04-25 20:18:50+00:00,34.607042,-98.423715,341.2,130,79,34.607045,-98.423745,2.7658190927273973,0.08907092099473023,1.0,2.7658190927273973,6.025954497105169
2025-04-25 20:18:51+00:00,34.60704,-98.423691,341.2,130,79,34.607042,-98.423715,2.2077324122906288,0.09127865340702085,1.0,2.2077324122906288,7.5492391683045925
2025-04-25 20:18:52+00:00,34.607041,-98.423654,341.2,130,79,34.60704,-98.423691,3.388100500858539,0.0946667539078794,1.0,3.388100500858539,4.9191870181468005
2025-04-25 20:18:53+00:00,34.607041,-98.423624,341.2,130,79,34.607041,-98.423654,2.7456286349911943,0.09741238254287059,1.0,2.7456286349911943,6.07026740164132
2025-04-25 20:18:54+00:00,34.607042,-98.423595,341.2,131,79,34.607041,-98.423624,2.656435927847925,0.10006881847071851,1.0,2.656435927847925,6.274083189916158
2025-04-25 20:18:55+00:00,34.60704,-98.42357,341.2,132,80,34.607042,-98.423595,2.2988063372587226,0.10236762480797723,1.0,2.2988063372587226,7.250154016834094
2025-04-25 20:18:56+00:00,34.607036,-98.42354,341.2,132,80,34.60704,-98.42357,2.7814217011419484,0.10514904650911919,1.0,2.7814217011419484,5.992151421396213
2025-04-25 20:18:57+00:00,34.607034,-98.423511,341.2,131,80,34.607036,-98.42354,2.6634087131349204,0.1078124552222541,1.0,2.6634087131349204,6.257657684232301
2025-04-25 20:18:58+00:00,34.607036,-98.423485,341.2,131,79,34.607034,-98.423511,2.389914588927154,0.11020236981118126,1.0,2.389914588927154,6.973763864708561
2025-04-25 20:18:59+00:00,34.607038,-98.423457,341.2,132,79,34.607036,-98.423485,2.5722186417361135,0.11277458845291737,1.0,2.5722186417361135,6.479503619782044
2025-04-25 20:19:00+00:00,34.60704,-98.423427,341.2,132,79,34.607038,-98.423457,2.754620543973245,0.11552920899689062,1.0,2.754620543973245,6.0504522252491695
2025-04-25 20:19:01+00:00,34.607044,-98.4234,341.2,131,80,34.60704,-98.423427,2.510775863101608,0.11803998485999223,1.0,2.510775863101608,6.638067636754845
2025-04-25 20:19:02+00:00,34.607045,-98.42337,341.2,133,80,34.607044,-98.4234,2.747879238898743,0.12078786409889097,1.0,2.747879238898743,6.065295652031436
2025-04-25 20:19:03+00:00,34.607045,-98.42334,341.2,130,79,34.607045,-98.42337,2.745628502724528,0.1235334926016155,1.0,2.745628502724528,6.0702676940676366
2025-04-25 20:19:04+00:00,34.607036,-98.423307,341.2,128,78,34.607045,-98.42334,3.1816770438637185,0.12671516964547921,1.0,3.1816770438637185,5.238338074615057
2025-04-25 20:19:05+00:00,34.607031,-98.423278,341.2,128,78,34.607036,-98.423307,2.7117148628006955,0.12942688450827994,1.0,2.7117148628006955,6.146184552304444
2025-04-25 20:19:06+00:00,34.607032,-98.42325,341.3,129,79,34.607031,-98.423278,2.564998357331351,0.13199188286561128,1.0,2.564998357331351,6.497742952685629
2025-04-25 20:19:07+00:00,34.607032,-98.423222,341.3,129,79,34.607032,-98.42325,2.5625870030531264,0.1345544698686644,1.0,2.5625870030531264,6.503857227146981
2025-04-25 20:19:08+00:00,34.607034,-98.423193,341.3,130,80,34.607032,-98.423222,2.663408778000833,0.13721787864666524,1.0,2.663408778000833,6.257657531830357
2025-04-25 20:19:09+00:00,34.607036,-98.423163,341.3,128,80,34.607034,-98.423193,2.7546206770257906,0.13997249932369105,1.0,2.7546206770257906,6.050451933002735
2025-04-25 20:19:10+00:00,34.607041,-98.423135,341.3,128,80,34.607036,-98.423163,2.622205134399825,0.14259470445809086,1.0,2.622205134399825,6.35598633430893
2025-04-25 20:19:11+00:00,34.607046,-98.423108,341.3,129,80,34.607041,-98.423135,2.532839182799122,0.14512754364088998,1.0,2.532839182799122,6.580244064915757
2025-04-25 20:19:12+00:00,34.607049,-98.423082,341.3,127,80,34.607046,-98.423108,2.4028133014627477,0.1475303569423527,1.0,2.4028133014627477,6.936327508197953
2025-04-25 20:19:13+00:00,34.607052,-98.423059,341.3,127,80,34.607049,-98.423082,2.1312501314680383,0.14966160707382076,1.0,2.1312501314680383,7.820152010275638
